,Smiles_Solute,Smiles_Solvent,Smiles_Merged,LogS,Source
895,O=C(O)c1ccc(O)c(O)c1,O,O=C1(O)~O~Oc2ccc1cc2O,-2.673050005834001,BigSolDB
896,Cc1nc(CCl)nc2ccccc12,CCCO,CCC1~n2c(C)c3ccccc3nc2(CCl)~O1,-0.8724093229920422,BigSolDB
897,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,O,N[C@H](Cc1c[nH]c2ccccc12)C1(=O)~O~O1,-2.83654044823001,BigSolDB
898,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,O,O[C@H]1[C@H](O)[C@H](O)[C@@H]2(~O~O2)[C@@H](O)[C@@H]1O,-2.104190849830869,BigSolDB
899,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,O,CC12CCC3c4ccc5cc4CCC3C1CCC2(=O)~O~O5,-3.955,Esol
900,CCCOC(=O)c1ccc(O)cc1,O,CCCOC1(=O)~O~Oc2ccc1cc2,-4.72584215073632,BigSolDB
901,Cc1c(O)c(=O)ccn1C,CO,Cc1c2c(=O)(~OC~O2)ccn1C,-2.711638972527048,BigSolDB
902,O=Cc1ccc([N+](=O)[O-])cc1,CCCO,CCC1~O=Cc2ccc([N+](=O)[O-])(~O1)cc2,-1.8551145817128576,BigSolDB
903,N[C@H](Cc1c[nH]cn1)C(=O)O,CCCO,CCC1~OC(=O)([C@H](N)Cc2c[nH]cn2)~O1,-3.3148855309534606,BigSolDB
904,ClCCN(CCCl)C1=CC2=CC=CC=C2C=C1,CC(=O)C,CC1(C)~N(CCCl)(c2ccc3ccccc3c2)CC(Cl)~O=1,0.495843183,BNNLabs
905,CCc1ccc(C(=O)c2ccccc2C(=O)O)cc1,CN(C)C=O,CCc1ccc(C(=O)c2ccccc2C2(=O)~N(C)(C)C(=O)~O2)cc1,-0.4643261965742499,BigSolDB
906,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,C1COCCO1,CC(=O)Oc1ccc(C(c2ccc(O3~C4CO(~C3(C)=O)CCO4)cc2)c2ccccn2)cc1,-2.6176226965318863,BigSolDB
907,NC(N)=NC(N)=NCCc1ccccc1,CCOC(C)=O,CCO1~C(N)(=NCCc2ccccc2)N=C(N)N~C1(C)=O,-2.8049310035314097,BigSolDB
908,COc1cc(Cl)nc(N)n1,CC(C)=O,CO1~C(C)(C)=O~c2(N)nc(Cl)cc1n2,-2.1190150095132467,BigSolDB
909,COc1ccc(cc1OC)C=O	,CCO,COc12~OC(C)~O(C)c1ccc(C=O)c2,0.739572344,BNNLabs
910,CCn1cc(c(=O)c2cc(c(nc12)N1CCNCC1)F)C(=O)O,CCO,CCn1cc(C2(=O)~OC(C)~O2)c(=O)c2cc(F)c(N3CCNCC3)nc21,-2.833490265,BNNLabs
911,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],CCO,CC1~[O-][n+]2c(N)cc(N3CCCCC3)nc2(N)~O1,-2.4078232426041333,BigSolDB
912,O=C(O)c1ccccc1O,CCCO,CCC1~Oc2ccccc2C(=O)(O)~O1,-0.8794260687941502,BigSolDB
913,S=C(Nc1ccccc1)Nc1ccccc1,CCOC(C)=O,CCO1~C(=S)(Nc2ccccc2)N(c2ccccc2)~C1(C)=O,-2.180127178049454,BigSolDB
914,COC(=O)[C@@H](N)CS.Cl,CO,CO1~CO~C1(=O)[C@@H](N)CS.Cl,-1.042823869595154,BigSolDB
915,CN(C)C(=N)N=C(N)N.Cl,CCO,CC1~NC(N)=NC(=N)(N(C)C)~O1.Cl,-2.886056647693163,BigSolDB
916,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,O,CC12CCc3c4ccc5cc(ccc35)O~O~C1(=O)CCC42,-5.24,Esol
917,OCCOC1=C2C=CC=CC2=C(OCCO)C(=C1)P1(=O)OC2=C(C=CC=C2)C2=C1C=CC=C2,CC(=O)C,CC1(C)~O(CCO)c2cc(c(OCCO)c3ccccc23)P2(=O)(~O=1)Oc1ccccc1-c1ccccc12,-2.770184797,BNNLabs
918,O=C(O)COc1ccc(Cl)cc1Cl,CC(C)=O,CC1(C)~O(c2ccc(Cl)cc2Cl)CC(=O)(O)~O=1,-0.9689957186364632,BigSolDB
919,N=C(N)NC(N)=S,C1COCCO1,N=C1(N)~O2CCOC(~NC(=S)N1)C2,-2.045468057373086,BigSolDB
920,Cc1ccc(cc1)S(=O)(=O)C[N+]#[C-]	,CCO,[C-]#[N+]1~C(C)O~C1S(=O)(=O)c1ccc(C)cc1,-0.55518258,BNNLabs
921,COC(=O)/C=C/c1ccc(O)c(OC)c1,CCOC(C)=O,CCO1~C(=O)(OC)/C=C/c2ccc(c(OC)c2)O~C1(C)=O,-0.6631401790831907,BigSolDB
922,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,O,CC(=O)C1(O2~O~C2(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,Esol
923,CC[C@@H](C(N)=O)N1CCCC1=O,CC#N,CC[C@H](N1CCCC1=O)C1(=O)~N#C(C)~N1,-2.041531681633056,BigSolDB
924,c1ccc2ccccc2c1,Cc1ccccc1,c1ccc23~c4ccc(cc4)C~c(cc2)cc3c1,-0.620694482249418,BigSolDB
925,COC(=O)[C@@H](N)CS.Cl,CCCO,CCC1~O(C)C(=O)([C@@H](N)CS)~O1.Cl,-2.094204119632132,BigSolDB
926,CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],CCO,CC1~O=C(C(=O)N(C)[N+](=O)[O-])(N(C)[N+](=O)[O-])~O1,-1.547635776,BNNLabs
927,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,O,CC(C)=CCc1c2ccc3ccc(=O)(~O~O2C)oc13,-4.314,Esol
928,Nc1nc(=O)[nH]cc1F,CN(C)C=O,CN1(C)~c2(=O)nc(c(F)c[nH]2)N~C1=O,-2.946537395074545,BigSolDB
929,Cc1ccc(S(=O)(=O)NCl)cc1.[Na],O,Cc1ccc(S2(=O)(NCl)~O~O=2)cc1.[Na],-2.164943898279884,BigSolDB
930,CCCCCCCCCCCCCCCCC1C(=O)N=C(N)S1,CCO,CCCCCCCCCCCCCCCCC1SC2=NC1(=O)~OC(C)~N2,-3.68711345,BNNLabs
931,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,CCO,CC1~OC(=O)(c2cc(C(=O)O)cc(C(=O)O)c2)~O1,-1.6840296545430822,BigSolDB
932,CCOC(=O)[C@@H]1CSCN1.Cl,C1COCCO1,CCO1~C2CO(~C1(=O)[C@@H]1CSCN1)CCO2.Cl,-3.322393047279507,BigSolDB
933,N#Cc1cccnc1,CO,N#C1~OC~n2cccc1c2,-0.9546770212133424,BigSolDB
934,COc1ccccc1NC(C(Cl)(Cl)Cl)Nc1ccccc1OC,CCO,COc1ccccc1NC1Nc2ccccc2O(C)~C(C)O~C1(Cl)(Cl)Cl,-1.176880379,BNNLabs
935,CC(=O)N1CCC[C@H]1C(=O)O,O,CC(=O)N1CCC[C@H]1C1(=O)~O~O1,-1.8948305720006684,BigSolDB
936,N#Cc1cccnc1,CCCCO,CCCC1~n2cccc(c2)C(#N)~O1,-1.4056074496245734,BigSolDB
937,OCCCP(=O)(CCCO)CCCO,CC(=O)C,CC1(C)~OCCCP(=O)(CCCO)(CCCO)~O=1,-1.864985102,BNNLabs
938,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CC(C)=O,CC1(C)~[nH]2c(=O)cnn(-c3cc(Cl)c(C(C#N)c4ccc(Cl)cc4)c(Cl)c3)c2(=O)~O=1,-1.92009553233328,BigSolDB
939,CC1=NN(c2ccccc2)C(=O)C1,CC(C)=O,CC1=NN(c2ccccc2)C2(~O=C(C)(C)~O=2)C1,-1.776166722763677,BigSolDB
940,C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,CC(C)O,C=C1C[C@]23C[C@H]1CC[C@H]2[C@]12CC[C@H](O)[C@]4(C)[C@H]1[C@@H]3C(=O)O~C(C)(C)O~C4(=O)O2,-1.160723119664036,BigSolDB
941,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CCCCO,CCCC1~N2CCN(Cc3ccc(Cl)nc3)C2(=N[N+](=O)[O-])~O1,-3.397940008672037,BigSolDB
942,C1CCC2C(C1)C1CC2NC2CCCC(NC3CC(C4CCCCC34)NC3CCCC(C3)N1)N2,CCO,CC1~N2C3CCCC(C3)NC3CC(NC4(~O1)CCCC(NC1CC2C2CCCCC12)N4)C1CCCCC31,-2.756964929,BNNLabs
943,CC(=O)[C@@]12O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3[C@H](O)C[C@@]12C,C1COCCO1,CC1(=O)~O2CCOC(~O[C@@H]3C[C@@]4(C)C(C[C@H]5O[C@@]514)C1CCC4=CC(=O)CC[C@]4(C)C13)C2,-2.533725678210708,BigSolDB
944,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,CCO,CC1~N(c2ccccc2-c2ccc(Cl)cc2)C(=O)(c2cccnc2Cl)~O1,-2.786482243003696,BigSolDB
945,c1ccc(c(c1)C(=O)N)O,CCO,CC1~Oc2ccccc2C(N)(=O)~O1,-0.2924297,BNNLabs
946,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,CC(C)O,CN1CCN(c2c(F)cc3c(=O)c(C4(=O)~OC(C)(C)~O4)cn4c3c2OCN4C)CC1,-4.289882634888183,BigSolDB
947,COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC,CC#N,COC(=O)C(C)(C)N=NC(C)(C)C1(=O)~N#C(C)~O1C,-0.623423042943488,BigSolDB
948,Cc1ncc(COP(=O)(O)O)c(C=O)c1O.O,CC(C)=O,Cc1ncc2c(C=O)c1O~C(C)(C)=O~P(=O)(O)(O)OC2.O,-6.318758762624412,BigSolDB
949,Cc1ccc(C)c(c1[N+](=O)[O-])[N+](=O)[O-],CCO,Cc1ccc(C)c2([N+](=O)[O-])~OC(C)~O=[N+]([O-])c12,-0.950194414,BNNLabs
950,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC(=O)C,CC1(C)~Oc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2([N+](=O)[O-])~O=1,0.456469311,BNNLabs
951,CCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,CC(=O)C,CCCCCCCC/C=C/C(=O)N(c1ccc(N(C)C)cc1)C1(=O)~O=C(C)(C)~N(C)(C)c2ccc(cc2)N1,-1.613894727,BNNLabs
952,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,C1COCCO1,CO1~C2CO(~C1(=O)Nc1nc3ccc(C(=O)c4ccc(F)cc4)cc3[nH]1)CCO2,-4.081288334617679,BigSolDB
953,CC(=O)Nc1ccc(C(=O)O)cc1,CCCCO,CCCC1~OC(=O)(c2ccc(NC(C)=O)cc2)~O1,-2.313274378925458,BigSolDB
954,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CC(C)=O,CC1(C)~OC(=O)([C@@H](N)Cc2c[nH]c3ccccc23)~O=1,-4.0,BigSolDB
955,CCCCCCC(C)O,O,CCCCCCC1(C)~O~O1,-2.09,Esol
956,O=C(O)c1cccc(C(=O)O)n1,CO,O=C(O)c1cccc(C2(=O)~OC~O2)n1,-2.348140730753051,BigSolDB
957,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Cl)cc1,C1COCCO1,O=C(/C=C/c1ccc2o1~C1CO(~c3([N+](=O)[O-])cccc-2c3)CCO1)c1ccc(Cl)cc1,-2.566710314804974,BigSolDB
958,O=C[C@H](O)[C@H](O)[C@H](O)CO,CC(C)=O,CC1(C)~OC[C@@H](O)[C@@H](O)[C@@H](O)C(=O)~O=1,-2.630338940621702,BigSolDB
959,CC(=O)N1CCC[C@H]1C(=O)O,C1COCCO1,CC(=O)N1CCC[C@H]1C1(=O)~O2CCOC(~O1)C2,-1.6245192853814276,BigSolDB
960,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CC#N,CC1~N2(C/C=C/c3ccccc3)CCN(CC2)C(c2ccccc2)(c2ccccc2)~N#1,-3.05700040663396,BigSolDB
961,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,CC(C)O,C=CC1(=O)~OC(C)(C)~O(c2ccccc2)c2ccc(cc2)-c2nn(c3ncnc(N)c23)[C@@H]2CCCN1C2,-3.388382889445664,BigSolDB
962,FC(F)(Cl)C(F)(Cl)Cl,O,FC1(F)(Cl)~O~FC1(Cl)Cl,-3.04,Esol
963,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CN(C)C=O,CN1CCN2(~C(=O)N(C)(C)~C23=Nc2cc(Cl)ccc2Nc2ccccc23)CC1,-1.0210894228244285,BigSolDB
964,O=C1Cc2ccccc2N1,CC(C)O,CC1(C)~N2c3ccccc3CC2(=O)~O1,-2.1716623999409954,BigSolDB
965,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CCCO,CCC1~N2C34NC(=O)NC3(NC2(=O)~O1)C(=O)NC4=O,-4.591760034688151,BigSolDB
966,O=C1CNC(=O)N1 ,O,O=C1CN2~O~C2(=O)N1,-0.4,Esol
967,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CCCCO,CCCC1~O(C)c2ccc(Cl)cc2C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)(NC2CCCCC2)~O1,-3.729344451047015,BigSolDB
968,O=C(c1ccccc1)C(O)c1ccccc1,CCO,CC1~OC(c2ccccc2)C(=O)(c2ccccc2)~O1,-3.112832979105226,BigSolDB
969,NC(=O)c1ccc(N)cc1,CCO,CC1~Nc2ccc(cc2)C(N)(=O)~O1,-2.20676855294348,BigSolDB
970,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],CC(C)O,COc1cc2c(cc1OC)-c1(~OC(C)(C)~[Cl-])cc3ccc(OC)c(OC)c3c[n+]1CC2,-3.751781438809925,BigSolDB
971,NNC(=O)NN.O=[N+]([O-])NC1=NC(C2N=NC(N[N+](=O)[O-])=N2)N=N1,CC(C)=O,CC1(C)~N(N)C(=O)(NN)~O=1.O=[N+]([O-])NC1=NC(C2N=NC(N[N+](=O)[O-])=N2)N=N1,-3.972650392225244,BigSolDB
972,OC(=O)C1=CC=CC(Cl)=C1C(=O)C1=CC=CC=C1,CC(=O)C,CC1(C)~OC(=O)(c2cccc(Cl)c2C(=O)c2ccccc2)~O=1,-1.420291159,BNNLabs
973,COC(=O)c1c(C)cc(O)c(C)c1O,CCOC(C)=O,CCO1~C(=O)(OC)c2c(C)cc(c(C)c2O)O~C1(C)=O,-0.8794260687941502,BigSolDB
974,NC(=O)c1ccccc1N,CO,NC1(=O)~OC~Nc2ccccc21,-1.3010299956639813,BigSolDB
975,O=C(O)c1cccc(C(=O)O)c1,CCCCO,CCCC1~OC(=O)(c2cccc(C(=O)O)c2)~O1,-2.7276941555979137,BigSolDB
976,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)C1=CC=CC=C1)C=C3,CC(=O)C,CCCCC(=O)O1~C(C)(C)=O~C(=O)(c2ccccc2)Oc2ccc3c(c2)CC[C@@H]2[C@@H]3CC[C@]3(C)[C@@H]1CC[C@@H]23,0.035633813,BNNLabs
977,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21,CCCO,CCC1~Oc2cc3c(cc2N=NC(N)(=O)~O1)C(O)CN3C,-4.755722879198157,BigSolDB
978,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,CC(C)=O,CO1~C(C)(C)=O~C1(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,-3.812479279163537,BigSolDB
979,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,O,CCn1cc(C2(=O)~O~O2)c(=O)c2cc(F)c(N3CCNCC3)cc21,-4.694218848745018,BigSolDB
980,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CC#N,Cc1ccc2cc1N(c1nccc(-c3cccnc3)n1)~C(C)#N~C(=O)(c1ccc(CN3CCN(C)CC3)cc1)N2,-4.998699066979582,BigSolDB
981,Cc1ccccc1n3c(C)nc2ccccc2c3=O,O,Cc1ccccc1-n1c(C)nc2ccccc2c12~O~O=2,-2.925,Esol
982,O=c1[nH]cnc2[nH]ncc12 ,O,O=c12~O~[nH]1cnc1[nH]ncc12,-2.266,Esol
983,CCOC(=O)c1ccc(cc1)NC(=S)N,CCO,CCO1~C(C)O~C1(=O)c1ccc(NC(N)=S)cc1,-0.873675102,BNNLabs
984,c1c(cc(c(c1[N+](=O)[O-])C(=O)N=[N+]=[N-])[N+](=O)[O-])[N+](=O)[O-],CCO,CC1~O=C(N=[N+]=[N-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2([N+](=O)[O-])~O1,-2.854235622,BNNLabs
985,ClC1=C(Cl)C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2C(Cl)=C1Cl,CC(=O)C,CC1(C)~Clc2c3c(Cl)c(Cl)c(Cl)c(Cl)c3c(Cl)c(Cl)c2(Cl)~O=1,-2.004035333,BNNLabs
986,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2,CC(C)=O,CC1(C)[C@@H]2CC[C@@]1(C)C1(~O=C(C)(C)~O1)C2,-1.1726307269461749,BigSolDB
987,C(C1C(C2C(O1)OC(C(Cl)(Cl)Cl)O2)O)O,CCO,CC1~OCC2OC3OC(OC3C2O)C(Cl)(Cl)(Cl)~O1,-0.456474038,BNNLabs
988,O=C1NC(=O)NC(=O)C1(CC)CC=C,O,C=CCC1(CC)C(=O)NC2(=O)~O~N2C1=O,-1.614,Esol
989,O=c1[nH]cc(F)c(=O)[nH]1,CCOC(C)=O,CCO1~c2(=O)[nH]c(=O)c(F)c[nH]2~C1(C)=O,-3.3872161432802645,BigSolDB
990,O=C(O)COc1ccc(Cl)cc1Cl,CCCO,CCC1~O(c2ccc(Cl)cc2Cl)CC(=O)(O)~O1,-1.3133637307377066,BigSolDB
991,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,CCO,CC1~OC(=O)(c2cccc([N+](=O)[O-])c2)~O1,0.408412743,BNNLabs
992,CC(C)C1CCC(C)CC1OC(=O)NC(=O)N,CCO,CC1CCC(C(C)C)C(O2~C(C)O~C2(=O)NC(N)=O)C1,-2.23825764,BNNLabs
993,O=Cc1cc(C=O)cc(C=O)c1,CO,O=Cc1cc(C=O)cc(C2~OC~O=2)c1,-2.455188088242224,BigSolDB
994,Cc1ccc(S(N)(=O)=O)cc1,CCCO,CCC1~NS(=O)(=O)(c2ccc(C)cc2)~O1,-1.5659103615821093,BigSolDB
995,Nc1ccc(C(=O)O)cc1.[K],CC(C)O,CC1(C)~OC(=O)(c2ccc(N)cc2)~O1.[K],-3.436518914605589,BigSolDB
996,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,CCOC(C)=O,CCO1~C2(=O)CC(Oc3cc(O)cc(O)c32)c2ccc(cc2)O~C1(C)=O,-2.000825944411515,BigSolDB
997,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,CCOC(C)=O,CCO1~c2([N+](=O)[O-])ccc3c(c2)C(=O)N(~C1(C)=O)C3=O,-2.0365899843197712,BigSolDB
998,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,O,O=C1C(C2CCC(c3ccc(Cl)cc3)CC2)=C2O~O~C2(=O)c2ccccc21,-5.931,Esol
999,O=C(O)c1ccccc1O,O,O=C1(O)~O~Oc2ccccc21,-3.5228787452803374,BigSolDB
1000,Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,CCCO,CCC1~O(Cc2ccccc2)C(=O)([C@@H](N)Cc2ccccc2)~O1.Cl,-2.7752080435073183,BigSolDB
1001,c1ccc(cc1)C=CC(=O)O	,CCO,CC1~OC(=O)(C=Cc2ccccc2)~O1,0.048740946,BNNLabs
1002,c1ccc2[nH]c(-c3cscn3)nc2c1,CC(C)O,CC1(C)~[nH]2c3ccccc3nc2(-c2cscn2)~O1,-3.155771418698372,BigSolDB
1003,CN(C)Cc1c[nH]c2ccccc12,CC(C)=O,CN(C)Cc1c[nH]2~C(C)(C)=O~c23ccccc13,-1.6358243672293806,BigSolDB
1004,C1=CC2=CC3=CC4=CC=CC=C4C=C3C=C2C=C1,CC(=O)C,CC1(C)~c2ccc3cc4cc5ccccc5cc4(~O=1)cc3c2,-2.167497354,BNNLabs
1005,CC1=NNC(=O)N(/N=C/c2cccnc2)C1,CN(C)C=O,CC1=NNC2(=O)~N(C)(C)C(=O)~n3cccc(c3)/C=N/N2C1,-2.508218224415834,BigSolDB
1006,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,CCO,CC1~Nc2ccc(cc2Cl)Cc2ccc(N)c(Cl)(~O1)c2,-1.6516951369518391,BigSolDB
1007,CC1=C(CCCO1)C(=O)Nc2ccccc2 ,O,CC1=C2CCCO1~O~C2(=O)Nc1ccccc1,-2.56,Esol
1008,OC/C=C/c1ccccc1,CO,C(=C/C1~OC~O1)\c1ccccc1,-0.4546928835341759,BigSolDB
1009,O=C(c1ccccc1)C(O)c1ccccc1,CCCO,CCC1~OC(c2ccccc2)C(=O)(c2ccccc2)~O1,-3.1262145391818,BigSolDB
1010,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CC(C)O,C=C(C)[C@@H]1CC[C@]2(C3(=O)~OC(C)(C)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-3.1163385648463824,BigSolDB
1011,CCn1c2ccccc2c2ccccc21,CCCO,CCC1~n2(CC)c3ccccc3c3ccccc32~O1,-2.036212172654445,BigSolDB
1012,CCCc1cc(=O)[nH]c(=S)[nH]1,CO,CCCc1cc2(=O)~OC~[nH]1c(=S)[nH]2,-2.2436682326789423,BigSolDB
1013,CN1CCN(CC1)C1=CC2=C(C=C1F)C(=O)C(=CN2C1=CC=C(F)C=C1)C(O)=O,CC(=O)C,CN1CCN(c2cc3c(cc2F)c(=O)c(C2(=O)~O=C(C)(C)~O2)cn3-c2ccc(F)cc2)CC1,-1.043231673,BNNLabs
1014,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,CC(C)O,CC1(C)~O(c2ncccc2C(=O)Nc2ccc(F)cc2F)c2cccc(c2)C(F)(F)(F)~O1,-4.332360293943589,BigSolDB
1015,CCCCCCCCCCCC(=O)OCC(=O)c1ccccc1,CCO,CCCCCCCCCCCC1(=O)~OC(C)~O1CC(=O)c1ccccc1,-0.77226716,BNNLabs
1016,N#Cc1ccc2c(c1)OCO2,C1COCCO1,N#Cc1ccc2c(c1)OC1~O3CCOC(~O21)C3,-0.7582045687048014,BigSolDB
1017,c1cc(ccc1C=O)O,CCO,CC1~Oc2ccc(cc2)C(=O)~O1,0.539322329,BNNLabs
1018,CN(C)C(=O)NC1CC2CC1C3CCCC23,O,CN(C)C1(=O)~O~N1C1CC2CC1C1CCCC21,-3.1710000000000003,Esol
1019,O=c1cc(-c2ccccc2)c2cc(O)c(O)cc2o1,CO,O=c12~OC~Oc3cc(c(-c4ccccc4)c1)c(cc3O)o2,-3.006123085058789,BigSolDB
1020,NS(=O)(=O)C1=CC=C(C=C1)S(N)(=O)=O,CC(=O)C,CC1(C)~NS(=O)(=O)(c2ccc(S(N)(=O)=O)cc2)~O=1,-0.771354104,BNNLabs
1021,Cn1[nH]c(=O)c(=O)[nH]c1=S,CCCO,CCC1~[nH]2c(=S)n(C)[nH]c(=O)(~O1)c2=O,-2.0661079642357887,BigSolDB
1022,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,O,Clc1ccc2cc1-c1c(Cl)c(Cl)c(Cl)(~O~Cl2)c(Cl)c1Cl,-8.94,Esol
1023,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,CO,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC5(~OC~O5)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,-3.8667805432675055,BigSolDB
1024,O=C(O)[C@@H]1CSCN1,CC#N,CC1~OC(=O)([C@@H]2CSCN2)~N#1,-4.657577319177793,BigSolDB
1025,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CC(C)O,CC(=O)O1~C(C)(C)O~c2([N+](=O)[O-])cnc(s2)NC(=O)c2ccccc21,-3.790484985457369,BigSolDB
1026,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc5cc(O)c4c3(=O)~O~O5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,-5.527243550682788,BigSolDB
1027,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,CC#N,CCOC1(=O)~N#C(C)~O(c2ccc(Oc3cnc4cc(Cl)ccc4n3)cc2)[C@@H]1C,-1.8655041441653264,BigSolDB
1028,O=Cc1ccc([N+](=O)[O-])cc1,Cc1ccccc1,O=[N+]([O-])c12~c3ccc(cc3)C~O=Cc(cc1)cc2,-1.718739312944987,BigSolDB
1029,CC(=O)C1C(=O)C=C2OC3=C(C(C)=O)C(O)=C(C)C(O)=C3[C@]2(C)C1=O,CC(=O)C,CC(=O)c1c(O)c(C)c2c3c1OC1=CC(=O)(~O=C(C)(C)~O2)C(C(C)=O)C(=O)[C@]13C,-1.995985874,BNNLabs
1030,c1ccc2c(c1)c3cccc4cccc2c34,O,c1cc2c34~O~c5ccc-2c(c5)-c3cccc4c1,-6.0,Esol
1031,CC(C)OC=O,O,CC(C)O1~O~C1=O,-0.63,Esol
1032,O=C1C=CC(=O)c2ccccc21,CCCCO,CCCC1~O=C2(~O1)C=CC(=O)c1ccccc12,-2.18243463044022,BigSolDB
1033,O=C1Nc2ccccc2C1=O,Cc1ccccc1,O=C1c2ccccc2N2~Cc3ccc(~C12=O)cc3,-3.2305488205979622,BigSolDB
1034,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,CN(C)C=O,CN1(C)~C2N([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])CN2[N+]([O-])=O~C1=O,-2.0915149811213505,BigSolDB
